experience_level,employment_type,remote_ratio,company_size,job_category,inflation_adj_salary,employee_residence_top,company_location_top
Senior,Full-time,50,Small,Data Engineer,59547,France,France
Senior,Full-time,100,Medium,Data Engineer,100692,Canada,Canada
Senior,Full-time,100,Large,Data Engineer,241905,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,71726,United States,United States
Mid/Intermediate level,Full-time,0,Small,ML Engineer,133899,United States,United States
Mid/Intermediate level,Full-time,0,Medium,ML Engineer,155322,United States,United States
Entry level,Part-time,50,Small,Data Analyst,145078,Other,United States
Senior,Full-time,0,Medium,Data Engineer,164963,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,128543,United States,United States
Senior,Full-time,100,Medium,ML Engineer,199241,United States,United States
Senior,Full-time,100,Medium,Data Scientist,251729,United States,United States
Senior,Full-time,100,Medium,Data Engineer,242251,United States,United States
Mid/Intermediate level,Full-time,0,Medium,DS/AI Executive,208882,United States,United States
Senior,Full-time,0,Medium,Data Engineer,49301,Other,Other
Mid/Intermediate level,Full-time,0,Medium,ML Engineer,93890,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Engineer,200848,United States,United States
Senior,Full-time,100,Medium,ML Engineer,303361,United States,United States
Senior,Full-time,0,Medium,Data Analyst,92550,United States,United States
Senior,Freelancer,50,Small,AI/ML Researcher,53559,Other,Other
Mid/Intermediate level,Full-time,50,Large,ML Engineer,65324,Other,Other
Senior,Full-time,0,Medium,Data Engineer,231377,United States,United States
Senior,Full-time,50,Large,ML Engineer,111897,India,India
Mid/Intermediate level,Full-time,50,Large,Data Engineer,108417,Other,Other
Senior,Full-time,100,Medium,ML Engineer,208239,United States,United States
Senior,Full-time,0,Medium,Data Management,127257,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Analyst,16783,India,India
Senior,Full-time,100,Medium,ML Engineer,101763,Canada,Canada
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,129564,Other,Other
Senior,Full-time,100,Medium,Data Engineer,196564,United States,United States
Entry level,Full-time,0,Large,Data Scientist,133603,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Scientist,117831,Canada,Canada
Senior,Full-time,100,Medium,ML Engineer,222122,United States,United States
Executive level,Full-time,0,Medium,DS/AI Executive,301368,United States,United States
Senior,Full-time,0,Medium,Data Engineer,137112,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,11569,Other,Other
Senior,Full-time,0,Medium,Data Engineer,229448,United States,United States
Mid/Intermediate level,Full-time,100,Medium,ML Engineer,161160,United States,United States
Senior,Full-time,100,Medium,Data Engineer,206739,United States,United States
Senior,Full-time,0,Medium,Data Engineer,80115,Spain,Spain
Senior,Full-time,0,Medium,Data Engineer,199215,United States,United States
Senior,Full-time,0,Medium,Data Scientist,176746,United States,United States
Senior,Full-time,100,Medium,Data Engineer,155902,United States,United States
Senior,Full-time,100,Medium,Data Engineer,247712,United States,United States
Senior,Full-time,100,Medium,Data Scientist,182102,United States,United States
Senior,Full-time,100,Medium,Data Engineer,179103,United States,United States
Senior,Full-time,100,Medium,Data Analyst,273719,United States,United States
Senior,Full-time,100,Medium,Data Engineer,196671,United States,United States
Entry level,Full-time,100,Large,AI Engineer,238192,Germany,Germany
Senior,Full-time,100,Medium,ML Engineer,216568,Canada,Canada
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,121384,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Architect,170855,United States,United States
Senior,Full-time,100,Medium,Data Scientist,222122,United States,United States
Senior,Full-time,100,Medium,Data Engineer,147289,United States,United States
Senior,Full-time,0,Medium,Data Scientist,148081,United States,United States
Senior,Full-time,100,Medium,Data Scientist,146345,United States,United States
Senior,Full-time,100,Medium,ML Engineer,197099,United States,United States
Senior,Full-time,100,Medium,Data Management,80982,United States,United States
Senior,Full-time,100,Medium,Data Engineer,150395,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,90237,Other,Brazil
Senior,Full-time,0,Large,Data Engineer,266081,United States,United States
Senior,Full-time,100,Medium,Data Engineer,253872,United States,United States
Senior,Full-time,0,Medium,Data Engineer,86277,Other,Other
Entry level,Full-time,100,Small,ML Engineer,40674,Other,Germany
Senior,Full-time,0,Medium,Data Engineer,114532,United States,United States
Senior,Full-time,100,Medium,Data Scientist,183434,Germany,Germany
Senior,Full-time,100,Medium,Data Engineer,171390,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Engineer,133239,United States,United States
Senior,Full-time,100,Medium,ML Engineer,163987,United States,United States
Senior,Full-time,100,Large,Data Engineer,116613,United States,United States
Mid/Intermediate level,Full-time,50,Large,DS/AI Executive,67473,India,India
Senior,Full-time,100,Medium,Data Scientist,266083,United States,United States
Senior,Full-time,0,Medium,ML Engineer,96407,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,64271,United States,United States
Senior,Full-time,0,Medium,Data Engineer,245302,United States,United States
Entry level,Full-time,100,Medium,Data Engineer,66200,United States,United States
Mid/Intermediate level,Full-time,100,Medium,ML Engineer,53948,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Engineer,186258,United States,United States
Senior,Full-time,100,Medium,Data Scientist,161964,United States,United States
Senior,Full-time,100,Medium,Data Scientist,142682,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,113814,United States,United States
Senior,Full-time,100,Medium,Data Scientist,237161,United States,United States
Senior,Full-time,0,Medium,Data Analyst,155322,United States,United States
Senior,Full-time,100,Medium,Data Scientist,242946,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,139255,United States,United States
Senior,Full-time,100,Medium,Data Scientist,168905,United States,United States
Senior,Full-time,100,Medium,Data Analyst,117831,United States,United States
Senior,Full-time,100,Medium,Data Analyst,134123,United States,United States
Senior,Full-time,100,Medium,ML Engineer,169248,Canada,Canada
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,69413,United States,United States
Senior,Full-time,100,Medium,Data Scientist,132720,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Analyst,23138,Other,Other
Executive level,Full-time,0,Medium,Data Engineer,235662,United States,United States
Senior,Full-time,0,Medium,Data Analyst,108336,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Management,80982,United States,United States
Mid/Intermediate level,Full-time,50,Medium,Data Analyst,76554,Other,Other
Senior,Full-time,100,Medium,Data Engineer,182102,United States,United States
Senior,Full-time,100,Medium,Data Scientist,207545,United States,United States
Executive level,Full-time,0,Medium,Data Engineer,123722,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Engineer,121126,United States,United States
Senior,Full-time,0,Medium,Data Engineer,150395,United States,United States
Entry level,Full-time,0,Medium,ML Engineer,219519,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,146345,United States,United States
Senior,Full-time,0,Large,Data Scientist,136960,Germany,Germany
Senior,Full-time,0,Medium,Data Scientist,157452,United States,United States
Executive level,Full-time,100,Medium,Data Engineer,252801,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,47205,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Analyst,179317,United States,United States
Mid/Intermediate level,Full-time,0,Medium,ML Engineer,120979,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,100,Medium,ML Engineer,70133,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,ML Engineer,287717,United States,United States
Senior,Full-time,0,Medium,Data Architect,118118,United States,United States
Entry level,Full-time,100,Small,ML Engineer,151407,United States,United States
Senior,Full-time,100,Medium,Data Engineer,246373,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Engineer,128543,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,72223,United Kingdom,United Kingdom
Executive level,Full-time,0,Medium,Data Scientist,155322,United States,United States
Senior,Full-time,0,Medium,Data Scientist,164320,United States,United States
