iter	RMSE
0	65828.50946
1	63694.16561
2	61598.72108
3	60248.13372
4	58837.37061
5	57593.40786
6	56784.74141
7	55994.87181
8	55222.83007
9	54591.87059
10	53987.3141
11	53505.78149
12	53069.5955
13	52815.55486
14	52437.64682
15	52199.23199
16	51928.33672
17	51621.09977
18	51458.20543
19	51296.11275
20	51112.78908
21	51004.54097
22	50818.16447
23	50696.80097
24	50518.7236
25	50391.11555
26	50302.09438
27	50217.77339
28	50157.88575
29	50082.80725
30	50017.42096
31	49960.29937
32	49913.75723
33	49845.68146
34	49808.68274
35	49754.49302
36	49689.69025
37	49625.70499
38	49595.3769
39	49531.71548
40	49489.888
41	49467.8831
42	49416.08431
43	49389.15057
44	49303.12067
45	49229.26132
46	49189.93125
47	49160.09981
48	49123.00977
49	49079.38498
50	49029.84378
51	48983.83711
52	48959.20559
53	48953.00487
54	48929.35344
55	48902.68835
56	48880.88998
57	48841.72662
58	48819.10899
59	48784.98076
60	48714.3595
61	48688.40639
62	48648.51198
63	48634.36252
64	48612.12546
65	48595.23062
66	48568.44923
67	48545.39064
68	48483.13333
69	48437.39054
70	48392.17779
71	48327.05928
72	48303.46237
73	48263.29275
74	48249.63214
75	48224.88869
76	48196.70461
77	48176.08542
78	48157.64369
79	48105.74763
80	48080.51287
81	48064.66337
82	48023.26443
83	47977.51353
84	47955.05598
85	47935.9205
86	47912.89851
87	47904.46068
88	47863.13102
89	47847.61841
90	47772.65272
91	47753.00039
92	47695.79693
93	47669.95229
94	47650.9283
95	47629.84534
96	47608.68547
97	47591.73212
98	47576.8107
99	47551.49808
