iter	Passed	Remaining
0	147	14579
1	148	7260
2	149	4830
3	149	3598
4	151	2869
5	151	2378
6	152	2028
7	153	1765
8	154	1561
9	155	1397
10	156	1267
11	157	1156
12	158	1062
13	159	980
14	160	910
15	161	850
16	163	796
17	164	749
18	165	706
19	166	667
20	167	631
21	168	598
22	170	569
23	171	542
24	172	517
25	173	494
26	174	472
27	175	452
28	176	432
29	177	415
30	178	398
31	180	382
32	181	368
33	182	354
34	183	340
35	184	327
36	185	315
37	186	303
38	186	292
39	187	281
40	188	271
41	189	262
42	190	252
43	191	244
44	192	235
45	193	227
46	195	220
47	196	213
48	197	205
49	199	199
50	200	192
51	201	185
52	202	179
53	203	173
54	204	167
55	205	161
56	206	155
57	207	150
58	209	145
59	210	140
60	211	135
61	212	130
62	214	125
63	215	121
64	216	116
65	218	112
66	219	107
67	220	103
68	221	99
69	222	95
70	224	91
71	225	87
72	227	84
73	228	80
74	229	76
75	230	72
76	231	69
77	233	65
78	234	62
79	235	58
80	236	55
81	237	52
82	238	48
83	239	45
84	240	42
85	241	39
86	243	36
87	244	33
88	245	30
89	246	27
90	247	24
91	247	21
92	248	18
93	249	15
94	250	13
95	251	10
96	251	7
97	252	5
98	253	2
99	254	0
